date	Channel 1
09-12-2014 035547	6.7
09-12-2014 035647	6.6
09-12-2014 035747	6.7
09-12-2014 035847	7.0
09-12-2014 035947	7.0
09-12-2014 040048	6.8
09-12-2014 040148	6.8
09-12-2014 040248	6.9
09-12-2014 040348	6.7
09-12-2014 040448	6.9
09-12-2014 040548	6.7
09-12-2014 040648	6.8
09-12-2014 040748	6.9
09-12-2014 040848	6.8
09-12-2014 040948	6.6
09-12-2014 041048	6.7
09-12-2014 041148	6.6
09-12-2014 041248	6.6
09-12-2014 041348	6.7
09-12-2014 041448	6.8
09-12-2014 041548	6.7
09-12-2014 041648	6.7
09-12-2014 041749	6.7
09-12-2014 041849	6.9
09-12-2014 041949	6.6
09-12-2014 042049	6.6
09-12-2014 042149	6.8
09-12-2014 042249	6.7
09-12-2014 042349	6.6
09-12-2014 042449	6.6
09-12-2014 042549	6.8
09-12-2014 042649	6.8
09-12-2014 042749	6.7
09-12-2014 042849	6.7
09-12-2014 042949	6.6
09-12-2014 043049	6.6
09-12-2014 043149	6.6
09-12-2014 043249	6.6
09-12-2014 043350	6.5
09-12-2014 043450	6.7
09-12-2014 043550	6.5
09-12-2014 043650	6.7
09-12-2014 043750	6.7
09-12-2014 043850	6.5
09-12-2014 043950	6.8
09-12-2014 044050	6.5
09-12-2014 044150	6.7
